GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
728264,0.00289,9.5e-05,0.3383,3.902977,1.3203982,139.1,CARMN,cardiac mesoderm enhancer-associated non-coding RNA
150,0.00301,9.98e-05,0.3355,3.891101,1.3055435,56.61,ADRA2A,adrenoceptor alpha 2A
155,0.00301,0.0001,0.3339,3.890519,1.2992085,22.74,ADRB3,adrenoceptor beta 3
196410,0.00304,0.000101,0.3532,3.887667,1.3732413,33.9,METTL7B,methyltransferase like 7B
57572,0.00328,0.00011,0.2916,3.867824,1.1278305,466.7,DOCK6,dedicator of cytokinesis 6
285973,0.00335,0.000113,0.2668,3.860701,1.0299656,947.6,ATG9B,autophagy related 9B
134,0.00348,0.000119,0.2733,3.849021,1.0519966,70.8,ADORA1,adenosine A1 receptor
3491,0.00353,0.000121,0.2791,3.844109,1.073076,815.54,CCN1,cellular communication network factor 1
406937,0.004,0.000144,0.4541,3.801676,1.7264392,19.86,MIR145,microRNA 145
1524,0.00411,0.000149,0.3903,3.79257,1.480146,58.18,CX3CR1,C-X3-C motif chemokine receptor 1
79628,0.00425,0.000155,0.265,3.782732,1.0024163,2208.75,SH3TC2,SH3 domain and tetratricopeptide repeats 2
90865,0.00426,0.000156,0.2921,3.780874,1.1044111,273.9,IL33,interleukin 33
101928656,0.00451,0.000167,0.3144,3.764232,1.1834342,21.98,LINC01099,long intergenic non-protein coding RNA 1099
107986370,0.00469,0.000178,0.6506,3.747978,2.4386141,14.49,LOC107986370,
101927476,0.00482,0.000184,0.2885,3.739365,1.0789637,50.84,LOC101927476,uncharacterized LOC101927476
101928122,0.00483,0.000186,0.3491,3.737736,1.3047629,40.55,LINC01483,long intergenic non-protein coding RNA 1483
7057,0.00484,0.000186,0.2758,3.737115,1.0306925,2538.11,THBS1,thrombospondin 1
55289,0.00493,0.000191,0.3241,3.729986,1.2087387,256.22,ACOXL,acyl-CoA oxidase like
100049076,0.00547,0.000216,0.3739,3.699656,1.3833065,88.32,GUSBP17,GUSB pseudogene 17
101241902,0.00599,0.000243,0.3931,3.669648,1.4426897,11.85,C4orf46P3,C4orf46 pseudogene 3
10686,0.00668,0.000279,0.6224,3.634494,2.2620597,37.14,CLDN16,claudin 16
89822,0.00771,0.000339,0.7572,3.583587,2.7134293,34.61,KCNK17,potassium two pore domain channel subfamily K member 17
109504726,0.00847,0.000381,0.3328,3.552653,1.1824151,919.13,ERV3-1-ZNF117,ERV3-1-ZNF117 readthrough
4047,0.00847,0.000381,0.3797,3.552586,1.3490809,530.75,LSS,lanosterol synthase
1004,0.00875,0.000399,0.4613,3.540616,1.6331805,156.57,CDH6,cadherin 6
493861,0.0088,0.000402,0.3044,3.538803,1.0772098,31.66,EID3,EP300 interacting inhibitor of differentiation 3
57007,0.00893,0.000413,0.3332,3.531515,1.1767186,398.31,ACKR3,atypical chemokine receptor 3
105374907,0.00904,0.000419,0.5069,3.528113,1.7884623,10.12,LOC105374907,
100874337,0.00915,0.000427,0.3869,3.52301,1.363174,15.21,PLCB1-IT1,PLCB1 intronic transcript 1
100861514,0.0117,0.000573,0.3052,3.444043,1.0510012,42.41,ELMO1-AS1,ELMO1 antisense RNA 1
100505570,0.0117,0.000578,0.3551,3.441723,1.2222532,36.5,LINC02708,long intergenic non-protein coding RNA 2708
3620,0.0119,0.000587,0.2972,3.437609,1.021651,306.5,IDO1,"indoleamine 2,3-dioxygenase 1"
107985999,0.0126,0.00063,0.5037,3.41842,1.7219226,15.51,LOC107985999,
94274,0.0128,0.000643,0.3283,3.412863,1.1202997,34.25,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
400997,0.0134,0.000683,0.345,3.396179,1.1715317,33.04,ACOXL-AS1,ACOXL antisense RNA 1
105375787,0.0134,0.000683,0.3804,3.39626,1.2918013,12.33,LOC105375787,uncharacterized LOC105375787
57863,0.0136,0.000697,0.3379,3.390682,1.1457389,233.17,CADM3,cell adhesion molecule 3
80162,0.0137,0.000705,0.307,3.387749,1.040035,179.55,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase
51676,0.0145,0.000772,0.6556,3.36256,2.2045115,51.34,ASB2,ankyrin repeat and SOCS box containing 2
5129,0.0148,0.000787,0.3051,3.357192,1.0241396,147.79,CDK18,cyclin dependent kinase 18
643783,0.0149,0.000798,0.3589,3.353609,1.2036587,24.89,USP46-DT,USP46 divergent transcript
100132116,0.0159,0.000869,0.3397,3.329962,1.1313326,327.18,ACTA2-AS1,ACTA2 antisense RNA 1
51351,0.0167,0.000923,0.3389,3.312981,1.1227199,1176.56,ZNF117,zinc finger protein 117
30818,0.018,0.00102,0.375,3.284781,1.2317733,41.07,KCNIP3,potassium voltage-gated channel interacting protein 3
653188,0.0181,0.00103,0.3054,3.282416,1.0025567,50.9,GUSBP3,GUSB pseudogene 3
100505635,0.0187,0.00107,0.3571,3.27065,1.1679908,21.07,DAAM2-AS1,DAAM2 antisense RNA 1
107984131,0.0205,0.0012,0.3781,3.238856,1.2247011,115.62,LOC107984131,uncharacterized LOC107984131
55321,0.0207,0.00122,0.3674,3.234887,1.1886037,165.56,TMEM74B,transmembrane protein 74B
100422997,0.0235,0.00144,0.3367,3.186654,1.0728227,38.89,MIR4257,microRNA 4257
79820,0.0237,0.00146,0.3703,3.182493,1.1784525,81.03,CATSPERB,cation channel sperm associated auxiliary subunit beta
115196,0.0252,0.00157,0.3786,3.160519,1.1965039,576.17,ZNF554,zinc finger protein 554
135644,0.0256,0.00161,0.3449,3.154313,1.0878026,505.79,TRIM40,tripartite motif containing 40
59,0.0274,0.00176,0.3612,3.127398,1.1296017,860.52,ACTA2,"actin alpha 2, smooth muscle"
107985282,0.0275,0.00177,0.4191,3.126668,1.3105024,16.6,LOC107985282,uncharacterized LOC107985282
143662,0.0291,0.00191,0.4593,3.104625,1.4260189,1328.29,MUC15,"mucin 15, cell surface associated"
9630,0.0291,0.00191,0.3436,3.103601,1.0663868,60.97,GNA14,G protein subunit alpha 14
103689912,0.0293,0.00193,0.3583,3.100417,1.1107362,20.61,TBX2-AS1,TBX2 antisense RNA 1
100505875,0.0293,0.00194,0.3611,3.098826,1.1188834,22.82,LINC01088,long intergenic non-protein coding RNA 1088
284233,0.0293,0.00194,0.5173,3.098703,1.6028978,33.27,CYP4F35P,"cytochrome P450 family 4 subfamily F member 35, pseudogene"
140825,0.0293,0.00195,0.4096,3.098048,1.2690916,12.48,NEURL2,neuralized E3 ubiquitin protein ligase 2
255187,0.0294,0.00195,0.3372,3.097392,1.0444098,30.37,SH3TC2-DT,SH3TC2 divergent transcript
100874234,0.0311,0.0021,0.3742,3.075671,1.1508709,15.67,CACNA1C-AS4,CACNA1C antisense RNA 4
2940,0.0319,0.00216,0.3441,3.067389,1.0554169,92.26,GSTA3,glutathione S-transferase alpha 3
27233,0.032,0.00217,0.3318,3.06557,1.0171404,61.32,SULT1C4,sulfotransferase family 1C member 4
100271927,0.0334,0.00228,0.4166,3.050551,1.2707385,301.75,RASA4B,RAS p21 protein activator 4B
