GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
1268,0.0122,0.000607,0.8582,-3.428309,-2.9422136,124.12,CNR1,cannabinoid receptor 1
2150,0.0122,0.00061,0.4111,-3.427013,-1.4088598,31.54,F2RL1,F2R like trypsin receptor 1
503638,0.0124,0.000621,0.323,-3.422252,-1.1053396,49.06,DUXAP9,double homeobox A pseudogene 9
107985999,0.0126,0.00063,0.5037,3.41842,1.7219226,15.51,LOC107985999,
65989,0.0126,0.00063,0.5092,-3.418374,-1.740638,21.92,DLK2,delta like non-canonical Notch ligand 2
100506411,0.0126,0.000634,0.6156,-3.416693,-2.1034855,12.74,MAP3K9-DT,MAP3K9 divergent transcript
117581,0.0126,0.000635,0.3857,-3.41634,-1.3178157,24.64,TWIST2,twist family bHLH transcription factor 2
9536,0.0126,0.000635,0.4103,-3.416106,-1.4016173,305.66,PTGES,prostaglandin E synthase
149175,0.0127,0.000637,0.4161,-3.415196,-1.4211134,14.33,MANEAL,mannosidase endo-alpha like
94274,0.0128,0.000643,0.3283,3.412863,1.1202997,34.25,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
2798,0.013,0.000662,0.4217,-3.404813,-1.4357234,14.65,GNRHR,gonadotropin releasing hormone receptor
400997,0.0134,0.000683,0.345,3.396179,1.1715317,33.04,ACOXL-AS1,ACOXL antisense RNA 1
105375787,0.0134,0.000683,0.3804,3.39626,1.2918013,12.33,LOC105375787,uncharacterized LOC105375787
57863,0.0136,0.000697,0.3379,3.390682,1.1457389,233.17,CADM3,cell adhesion molecule 3
4958,0.0136,0.000699,0.7154,-3.389981,-2.4252713,50.75,OMD,osteomodulin
1580,0.0137,0.000704,0.501,-3.387927,-1.6972248,33.52,CYP4B1,cytochrome P450 family 4 subfamily B member 1
80162,0.0137,0.000705,0.307,3.387749,1.040035,179.55,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase
90342,0.0138,0.000711,0.3353,-3.385354,-1.135134,89.86,FER1L5,fer-1 like family member 5
56301,0.0138,0.000712,0.5643,-3.38497,-1.9099753,22.98,SLC7A10,solute carrier family 7 member 10
132014,0.0138,0.000719,0.4531,-3.382119,-1.5324635,46.31,IL17RE,interleukin 17 receptor E
4286,0.0138,0.000719,0.3047,-3.382203,-1.0304766,52.68,MITF,melanocyte inducing transcription factor
105370058,0.0139,0.000727,0.5888,-3.379228,-1.9895443,24.52,LOC105370058,uncharacterized LOC105370058
3745,0.0141,0.000739,0.6139,-3.374825,-2.0718757,38.75,KCNB1,potassium voltage-gated channel subfamily B member 1
54498,0.0142,0.000747,0.4885,-3.371863,-1.6473075,35.13,SMOX,spermine oxidase
107985034,0.0143,0.000753,0.4183,-3.369658,-1.4095841,39.41,LOC107985034,uncharacterized LOC107985034
367,0.0144,0.000759,0.674,-3.367165,-2.2693628,27.81,AR,androgen receptor
64388,0.0145,0.000768,0.3938,-3.364033,-1.3248526,179.04,GREM2,"gremlin 2, DAN family BMP antagonist"
51676,0.0145,0.000772,0.6556,3.36256,2.2045115,51.34,ASB2,ankyrin repeat and SOCS box containing 2
5129,0.0148,0.000787,0.3051,3.357192,1.0241396,147.79,CDK18,cyclin dependent kinase 18
412,0.0148,0.000791,0.3357,-3.356056,-1.1266988,5961.84,STS,steroid sulfatase
644714,0.0149,0.000793,0.3783,-3.355077,-1.2692396,130.69,LIMD1-AS1,LIMD1 antisense RNA 1
643783,0.0149,0.000798,0.3589,3.353609,1.2036587,24.89,USP46-DT,USP46 divergent transcript
102723446,0.0149,0.000804,0.4801,-3.351466,-1.6091871,29.11,LOC102723446,uncharacterized LOC102723446
105376272,0.0149,0.000803,0.5101,-3.351652,-1.7096442,12.85,LOC105376272,uncharacterized LOC105376272
10281,0.0153,0.000827,0.3182,-3.343622,-1.063849,63.14,DSCR4,Down syndrome critical region 4
6550,0.0155,0.000839,0.327,-3.339516,-1.0920904,90.81,SLC9A3,solute carrier family 9 member A3
7280,0.0157,0.000858,0.3857,-3.333506,-1.2857778,112.48,TUBB2A,tubulin beta 2A class IIa
246,0.0157,0.000859,0.7199,-3.333088,-2.3994465,10.1,ALOX15,arachidonate 15-lipoxygenase
7980,0.0158,0.000863,0.3668,-3.331659,-1.2220041,35898.95,TFPI2,tissue factor pathway inhibitor 2
100132116,0.0159,0.000869,0.3397,3.329962,1.1313326,327.18,ACTA2-AS1,ACTA2 antisense RNA 1
3681,0.016,0.000878,0.6749,-3.326808,-2.245186,31.06,ITGAD,integrin subunit alpha D
1356,0.0162,0.000892,0.3641,-3.322694,-1.2098811,62.42,CP,ceruloplasmin
3576,0.0165,0.00091,0.5767,-3.316816,-1.9126939,23.46,CXCL8,C-X-C motif chemokine ligand 8
105378998,0.0165,0.000912,0.5066,-3.316473,-1.6802111,19.28,LOC105378998,uncharacterized LOC105378998
51351,0.0167,0.000923,0.3389,3.312981,1.1227199,1176.56,ZNF117,zinc finger protein 117
10166,0.0169,0.000934,0.3272,-3.30959,-1.0828395,55.99,SLC25A15,solute carrier family 25 member 15
